Gene	p_value
ENSMUSG00000022014	0.00020114201839039857
ENSMUSG00000036437	2.0118076129488603e-06
ENSMUSG00000010825	0.008290260895725049
ENSMUSG00000005124	0.0021500643419560816
ENSMUSG00000020902	0.009671587013340649
ENSMUSG00000021647	0.0012028212988718096
ENSMUSG00000028023	0.008168227236483968
ENSMUSG00000090255	0.005659145509401356
ENSMUSG00000032796	0.0004694345616893259
ENSMUSG00000020672	0.0007105430006863411
ENSMUSG00000078137	3.4605609475486125e-06
ENSMUSG00000045532	0.0012103545088061347
ENSMUSG00000070867	0.007756179193535738
ENSMUSG00000021217	0.0006163965101127656
ENSMUSG00000028289	1.0357324131460901e-05
ENSMUSG00000001988	0.0003034159890398866
ENSMUSG00000109995	0.012981335208886405
ENSMUSG00000020932	0.00034991679292233817
ENSMUSG00000046607	0.00019874204653491718
ENSMUSG00000059456	0.00025071412824975947
ENSMUSG00000023046	0.0002659812897153726
ENSMUSG00000031104	0.000452908357504509
ENSMUSG00000026193	1.7106158128978582e-05
ENSMUSG00000026343	0.020458280294013677
ENSMUSG00000039954	0.005588505941716124
ENSMUSG00000030495	0.000369514560663641
ENSMUSG00000041064	0.0162233631229678
ENSMUSG00000091519	0.0036029711815988015
ENSMUSG00000031558	0.01448445005040482
ENSMUSG00000026424	0.0011455128590675818
ENSMUSG00000041482	0.001041640712126927
ENSMUSG00000027820	0.0011983490583321026
ENSMUSG00000046321	6.009575039407765e-05
ENSMUSG00000036131	0.02791199705997548
ENSMUSG00000032368	0.04351357676346297
ENSMUSG00000066113	0.0013295710541262914
ENSMUSG00000005763	0.008294249119839064
ENSMUSG00000046159	0.00036749232807591683
ENSMUSG00000078958	5.93359154665899e-05
ENSMUSG00000004231	0.0061999876243459436
ENSMUSG00000039349	0.0018509511458799483
ENSMUSG00000047945	0.001201433773397128
ENSMUSG00000039714	0.009344089010212582
ENSMUSG00000003438	0.01066740819270463
ENSMUSG00000001435	0.015193464524681455
ENSMUSG00000044033	0.008864965477382185
ENSMUSG00000006522	0.0008199855371618437
ENSMUSG00000049001	4.9031248132543835e-05
ENSMUSG00000002944	0.009069785153646358
ENSMUSG00000068859	0.003719012797694243
ENSMUSG00000032332	0.004728796233179689
ENSMUSG00000039410	0.0018058369190382029
ENSMUSG00000040478	0.0008820615959889168
ENSMUSG00000030111	0.0005288478687241922
ENSMUSG00000032303	0.01570592350958035
ENSMUSG00000017400	0.0006117485141371116
ENSMUSG00000050663	1.56448369411453e-05
ENSMUSG00000038168	0.0033879444896409883
ENSMUSG00000040254	2.1942411516754098e-05
ENSMUSG00000022949	1.9299114519945057e-05
ENSMUSG00000029859	0.0005526856396844615
ENSMUSG00000048915	0.004631880565002266
ENSMUSG00000043631	0.031245914918826327
ENSMUSG00000027971	0.004539046601056857
ENSMUSG00000024411	0.0003988798906428604
ENSMUSG00000030270	0.00037206933993364877
ENSMUSG00000029683	0.0006083010265035466
ENSMUSG00000063632	0.017120596325065608
ENSMUSG00000026344	0.0015750868972435913
ENSMUSG00000049511	4.2717787492093105e-05
ENSMUSG00000058488	0.0002362520274370541
ENSMUSG00000086126	4.786821553483353e-05
ENSMUSG00000075224	0.000385857969027111
ENSMUSG00000091243	0.030752098560345352
ENSMUSG00000030551	0.005947518690692383
ENSMUSG00000022306	0.023530011608520543
ENSMUSG00000031734	0.044683019491591855
ENSMUSG00000030247	0.0003298879147656574
ENSMUSG00000046593	0.0036703118688401195
ENSMUSG00000023391	0.011856473910258262
ENSMUSG00000031189	0.0007083911939793589
ENSMUSG00000097623	0.04406879769053503
ENSMUSG00000055471	0.00251275851088973
ENSMUSG00000069170	0.0008659697626552798
ENSMUSG00000027004	0.0022272694206407146
ENSMUSG00000021536	0.03564597932183035
ENSMUSG00000038115	0.000186185778907602
ENSMUSG00000091636	9.706567040783994e-07
ENSMUSG00000042596	0.002378491825493684
ENSMUSG00000068696	9.689118821743297e-06
ENSMUSG00000041548	3.588371563152941e-05
ENSMUSG00000035594	0.000609190718183632
ENSMUSG00000030047	0.001160245369312963
ENSMUSG00000015568	8.316738131413254e-05
ENSMUSG00000032360	0.00571730886281781
ENSMUSG00000036907	0.0004515646694442152
ENSMUSG00000071234	0.00026586546669198394
ENSMUSG00000030513	0.04848983318996902
ENSMUSG00000068122	0.000167456723320572
ENSMUSG00000027765	0.042244666304740414
ENSMUSG00000053153	0.0011625091552155242
ENSMUSG00000039728	0.02406864594025296
ENSMUSG00000030088	7.566747008627406e-05
ENSMUSG00000018604	0.0009544904142895798
ENSMUSG00000059173	7.429393399334046e-06
ENSMUSG00000060044	0.003577273434527677
ENSMUSG00000029591	0.0003766952671621972
ENSMUSG00000036022	0.0003149918569597666
ENSMUSG00000079105	5.28957896326863e-05
ENSMUSG00000021680	5.160231484573182e-06
